UNITID,uni_total_enrollment,uni_total_nonresident_enrollment,uni_undergrad_enrollment,uni_undergrad_nonresident_enrollment,uni_graduate_enrollment,uni_graduate_nonresident_enrollment,uni_total_nonresident_pct,uni_undergrad_nonresident_pct,uni_graduate_nonresident_pct
110778,1145,930,5.0,0.0,1140.0,930.0,81.22270742358079,0.0,81.57894736842105
110875,122,0,122.0,0.0,,,0.0,0.0,
111045,123,110,38.0,29.0,85.0,81.0,89.43089430894308,76.31578947368422,95.29411764705881
111054,98,0,98.0,0.0,,,0.0,0.0,
111081,1277,387,868.0,229.0,409.0,158.0,30.305403288958498,26.382488479262673,38.63080684596577
111188,837,3,804.0,3.0,33.0,0.0,0.35842293906810035,0.3731343283582089,0.0
111391,650,7,,,650.0,7.0,1.0769230769230769,,1.0769230769230769
111434,6625,181,6625.0,181.0,,,2.7320754716981135,2.7320754716981135,
111461,18075,106,18075.0,106.0,,,0.586445366528354,0.586445366528354,
111513,219,0,219.0,0.0,,,0.0,0.0,
111638,759,0,759.0,0.0,,,0.0,0.0,
111708,223,0,223.0,0.0,,,0.0,0.0,
111717,266,0,266.0,0.0,,,0.0,0.0,
111726,130,0,130.0,0.0,,,0.0,0.0,
111744,162,0,162.0,0.0,,,0.0,0.0,
111762,142,0,142.0,0.0,,,0.0,0.0,
111799,171,0,171.0,0.0,,,0.0,0.0,
111887,21859,58,21859.0,58.0,,,0.2653369321560913,0.2653369321560913,
111896,5549,5,5549.0,5.0,,,0.09010632546404757,0.09010632546404757,
111920,12842,84,12842.0,84.0,,,0.6541037221616571,0.6541037221616571,
111939,22460,87,22460.0,87.0,,,0.3873552983081033,0.3873552983081033,
111948,9760,460,7713.0,232.0,2047.0,228.0,4.713114754098361,3.007908725528329,11.138251099169516
111966,852,0,282.0,0.0,570.0,0.0,0.0,0.0,0.0
112075,3658,103,1544.0,58.0,2114.0,45.0,2.8157463094587207,3.756476683937824,2.128666035950804
112084,96,1,89.0,1.0,7.0,0.0,1.0416666666666665,1.1235955056179776,0.0
112127,40,1,,,40.0,1.0,2.5,,2.5
112172,10429,166,10429.0,166.0,,,1.5917154089557966,1.5917154089557966,
112181,114,0,114.0,0.0,,,0.0,0.0,
112190,19267,314,19267.0,314.0,,,1.6297295894534696,1.6297295894534696,
112251,1771,367,,,1771.0,367.0,20.7227555053642,,20.7227555053642
112260,1393,208,1390.0,208.0,3.0,0.0,14.931801866475233,14.964028776978417,0.0
112288,635,0,635.0,0.0,,,0.0,0.0,
112367,238,0,238.0,0.0,,,0.0,0.0,
112385,9008,175,9008.0,175.0,,,1.9427175843694493,1.9427175843694493,
112394,477,0,456.0,0.0,21.0,0.0,0.0,0.0,0.0
112455,109,0,109.0,0.0,,,0.0,0.0,
112525,3665,60,,,3665.0,60.0,1.6371077762619373,,1.6371077762619373
112561,2828,54,2828.0,54.0,,,1.9094766619519095,1.9094766619519095,
112570,71,0,71.0,0.0,,,0.0,0.0,
112686,5225,0,5225.0,0.0,,,0.0,0.0,
112826,6538,124,6538.0,124.0,,,1.8966044661976138,1.8966044661976138,
113096,15744,40,15744.0,40.0,,,0.25406504065040647,0.25406504065040647,
113111,6768,4,6768.0,4.0,,,0.0591016548463357,0.0591016548463357,
113193,11283,21,11283.0,21.0,,,0.18612071257644244,0.18612071257644244,
113218,8905,15,8905.0,15.0,,,0.16844469399213924,0.16844469399213924,
113236,15924,115,15924.0,115.0,,,0.7221803566942979,0.7221803566942979,
113333,17425,1318,17425.0,1318.0,,,7.563845050215208,7.563845050215208,
113449,132,0,132.0,0.0,,,0.0,0.0,
113573,12861,69,12861.0,69.0,,,0.536505714952181,0.536505714952181,
113582,94,5,77.0,3.0,17.0,2.0,5.319148936170213,3.896103896103896,11.76470588235294
113616,52,30,25.0,17.0,27.0,13.0,57.692307692307686,68.0,48.148148148148145
113634,17228,606,17228.0,606.0,,,3.5175296029719063,3.5175296029719063,
113698,1900,50,1114.0,30.0,786.0,20.0,2.631578947368421,2.6929982046678633,2.5445292620865136
113704,55,10,,,55.0,10.0,18.181818181818183,,18.181818181818183
113856,33677,195,33677.0,195.0,,,0.5790301986518989,0.5790301986518989,
113980,21664,340,21664.0,340.0,,,1.5694239290989662,1.5694239290989662,
114114,150,7,,,150.0,7.0,4.666666666666667,,4.666666666666667
114266,9336,56,9336.0,56.0,,,0.5998286203941731,0.5998286203941731,
114354,564,128,535.0,114.0,29.0,14.0,22.69503546099291,21.30841121495327,48.275862068965516
114433,2055,24,2055.0,24.0,,,1.167883211678832,1.167883211678832,
114460,220,0,220.0,0.0,,,0.0,0.0,
114549,915,8,,,915.0,8.0,0.8743169398907104,,0.8743169398907104
114585,321,51,,,321.0,51.0,15.887850467289718,,15.887850467289718
114637,43,0,43.0,0.0,,,0.0,0.0,
114716,12949,454,12949.0,454.0,,,3.5060622441887404,3.5060622441887404,
114734,89,5,,,89.0,5.0,5.617977528089887,,5.617977528089887
114761,69,0,69.0,0.0,,,0.0,0.0,
114789,28071,30,28071.0,30.0,,,0.10687186063909372,0.10687186063909372,
114813,2879,68,1545.0,53.0,1334.0,15.0,2.3619312261201806,3.43042071197411,1.1244377811094453
114840,1890,507,,,1890.0,507.0,26.825396825396826,,26.825396825396826
114859,19521,180,19521.0,180.0,,,0.9220839096357769,0.9220839096357769,
114938,6083,8,6083.0,8.0,,,0.13151405556468848,0.13151405556468848,
114947,186,49,186.0,49.0,,,26.344086021505376,26.344086021505376,
115001,12075,198,12075.0,198.0,,,1.639751552795031,1.639751552795031,
115010,896,0,896.0,0.0,,,0.0,0.0,
115083,3098,272,271.0,8.0,2827.0,264.0,8.779857972885733,2.952029520295203,9.33852140077821
115126,10721,253,10721.0,253.0,,,2.3598544911855237,2.3598544911855237,
115214,150,38,,,150.0,38.0,25.333333333333336,,25.333333333333336
115296,14440,205,14440.0,205.0,,,1.4196675900277007,1.4196675900277007,
115357,164,1,164.0,1.0,,,0.6097560975609756,0.6097560975609756,
115393,11273,0,11273.0,0.0,,,0.0,0.0,
115409,951,101,951.0,101.0,,,10.620399579390117,10.620399579390117,
115658,77,0,77.0,0.0,,,0.0,0.0,
115746,833,18,,,833.0,18.0,2.1608643457382954,,2.1608643457382954
115755,6237,23,5661.0,18.0,576.0,5.0,0.3687670354337021,0.3179650238473768,0.8680555555555556
115773,699,288,172.0,0.0,527.0,288.0,41.201716738197426,0.0,54.64895635673624
115861,8873,1,8873.0,1.0,,,0.011270145384875464,0.011270145384875464,
115931,765,0,765.0,0.0,,,0.0,0.0,
116226,102,3,97.0,3.0,5.0,0.0,2.941176470588235,3.0927835051546393,0.0
116439,13018,604,13018.0,604.0,,,4.639729605162083,4.639729605162083,
116563,157,0,157.0,0.0,,,0.0,0.0,
116846,424,3,290.0,1.0,134.0,2.0,0.7075471698113208,0.3448275862068966,1.4925373134328357
117052,8796,5,8796.0,5.0,,,0.056844020009095046,0.056844020009095046,
117104,621,10,460.0,6.0,161.0,4.0,1.610305958132045,1.3043478260869565,2.484472049689441
117140,5021,209,3050.0,42.0,1971.0,167.0,4.162517426807409,1.377049180327869,8.472856418061896
117168,775,39,746.0,37.0,29.0,2.0,5.032258064516129,4.959785522788204,6.896551724137931
117195,4040,18,4040.0,18.0,,,0.4455445544554455,0.4455445544554455,
117238,150,0,150.0,0.0,,,0.0,0.0,
117247,9328,52,9328.0,52.0,,,0.5574614065180103,0.5574614065180103,
117274,2038,0,2038.0,0.0,,,0.0,0.0,
117283,112,0,112.0,0.0,,,0.0,0.0,
117520,618,0,,,618.0,0.0,0.0,,0.0
117557,436,306,204.0,82.0,232.0,224.0,70.18348623853211,40.19607843137255,96.55172413793103
117575,161,4,32.0,2.0,129.0,2.0,2.484472049689441,6.25,1.550387596899225
117627,1574,141,1226.0,80.0,348.0,61.0,8.958068614993648,6.525285481239804,17.52873563218391
117636,4210,344,1024.0,26.0,3186.0,318.0,8.17102137767221,2.5390625,9.981167608286253
117645,24985,87,24985.0,87.0,,,0.34820892535521314,0.34820892535521314,
117672,2008,57,729.0,20.0,1279.0,37.0,2.838645418326693,2.7434842249657065,2.8928850664581707
117690,9463,23,9463.0,23.0,,,0.2430518862939871,0.2430518862939871,
117706,16906,137,16906.0,137.0,,,0.8103631846681651,0.8103631846681651,
117715,5371,7,5371.0,7.0,,,0.13032954757028486,0.13032954757028486,
117724,12519,41,12519.0,41.0,,,0.32750219666107516,0.32750219666107516,
117733,15999,65,15999.0,65.0,,,0.40627539221201325,0.40627539221201325,
117751,2860,63,1908.0,37.0,952.0,26.0,2.202797202797203,1.939203354297694,2.73109243697479
117788,14611,381,14611.0,381.0,,,2.607624392580932,2.607624392580932,
117803,204,0,204.0,0.0,,,0.0,0.0,
117867,10690,35,10690.0,35.0,,,0.32740879326473343,0.32740879326473343,
117894,8455,32,8455.0,32.0,,,0.3784742755765819,0.3784742755765819,
117946,10179,907,7273.0,670.0,2906.0,237.0,8.91050201395029,9.212154544204592,8.155540261527873
117955,229,3,229.0,3.0,,,1.3100436681222707,1.3100436681222707,
118134,70,0,70.0,0.0,,,0.0,0.0,
118143,90,0,90.0,0.0,,,0.0,0.0,
118161,86,0,86.0,0.0,,,0.0,0.0,
118198,2000,0,2000.0,0.0,,,0.0,0.0,
118347,4838,77,4838.0,77.0,,,1.5915667631252584,1.5915667631252584,
118684,4225,8,4225.0,8.0,,,0.1893491124260355,0.1893491124260355,
118693,810,187,764.0,173.0,46.0,14.0,23.08641975308642,22.643979057591622,30.434782608695656
118718,12472,45,12472.0,45.0,,,0.3608082103912765,0.3608082103912765,
118772,7022,34,7022.0,34.0,,,0.48419253773853604,0.48419253773853604,
118888,640,219,464.0,70.0,176.0,149.0,34.21875,15.086206896551724,84.6590909090909
118912,11478,83,11478.0,83.0,,,0.7231224952082245,0.7231224952082245,
118930,6909,118,6909.0,118.0,,,1.7079172094369661,1.7079172094369661,
118958,90,2,90.0,2.0,,,2.2222222222222223,2.2222222222222223,
118976,18258,171,18258.0,171.0,,,0.9365757476174827,0.9365757476174827,
118994,411,2,411.0,2.0,,,0.48661800486618007,0.48661800486618007,
